Order Number,Customer Number,City,Prov,Postal Code,Order First Time,Source,Sales amount,Item Num,Item Description,Category code,Quantity
X6612192,0036341568,SCARBOROUGH,ON,M1G2E1,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611965,1135188728,WINNIPEG,MB,R2P0J7,N,IVR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335221,1222793919,WINNIPEG,MB,R3J3A7,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335227,0032927824,VANCOUVER,BC,V5Z1N6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612178,0004839866,CALGARY,AB,T3L2M2,N,IVR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339319,0023801277,WINNIPEG,MB,R2M1C4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337690,0034915496,NORTH YORK,ON,M3A1X8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336982,0033283284,TORONTO,ON,M5N1K9,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337646,1112265937,BURNABY,BC,V5J4J6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339031,0036345577,NORTH YORK,ON,M2N6K7,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338548,1273877280,WINNIPEG,MB,R2N1E7,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611464,0030008726,RED DEER,AB,T4P4G4,N,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611570,0036339596,TORONTO,ON,M2J4L3,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337046,0031729668,TORONTO,ON,M5A2C9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611392,1262573692,EDMONTON,AB,T5C2M2,N,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339073,0001439959,NORTH YORK,ON,M3K1V1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612668,0036241248,VANCOUVER,BC,V6N4B8,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335867,0025133752,LASALLE,QC,H8P3B1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339156,0027897925,WINDSOR,ON,N8Y4A4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337757,0033452863,WISHART,SK,S0A4R0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338551,1170192247,BELLEVILLE,ON,K8P4Z3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338610,0036100329,COLD LAKE,AB,T9M2E2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338398,0036344133,MARKHAM,ON,L3P1B4,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335923,0028079291,DIGBY CO.,NS,B0S1S0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334951,0036335321,BRAMPTON,ON,L6S5G1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335147,0036336097,VICTORIA,BC,V8T2T1,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337015,0036341840,BURNABY,BC,V5A1K7,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611978,0004202206,LONDON,ON,N6K1W4,N,IVR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338745,0008494841,SCARBOROUGH,ON,M1T3A5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334960,0008976508,BARRIE,ON,L4N5X4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335048,0036335594,WINDSOR,ON,N8W4V3,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338530,0024415143,ST. JOHN'S,NL,A1A1Z3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611525,0024020034,MISSISSAUGA,ON,L5T2P9,N,IVR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612799,0036344224,GUELPH,ON,N1H8E8,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337196,0005702170,COQUITLAM,BC,V3J4L9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338726,0001213768,BEDFORD,NS,B4B1B2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337579,0034943498,VICTORIA,BC,V8Z4A1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335209,1263661868,VANCOUVER,BC,V6G1H4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335326,0034634816,NEPEAN,ON,K2J0J3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335381,0009573924,ST THOMAS,ON,N5R6K4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339088,0036345635,EDMONTON,AB,T5E3W9,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334978,0012166310,SCARBOROUGH,ON,M1J2T9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334957,0022271712,ORILLIA,ON,L3V6E1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334953,0020491106,DUNCAN,BC,V9L2B5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334989,0011561578,FAUQUIER,BC,V0G1K0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334947,0027659150,CALGARY,AB,T2K4H4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338468,0022673578,PERTH,ON,K7H3M5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338524,0036344935,MISSISSAUGA,ON,L5N3E3,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338752,0001213768,BEDFORD,NS,B4B1B2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334991,1105831273,COQUITLAM,BC,V3K5N1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335159,1259861662,STOUFFVILLE,ON,L4A7X5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334941,0002898997,MISSISSAUGA,ON,L5N3A6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338427,0007890882,MACKENZIE,BC,V0J2C0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611861,0036340438,VANCOUVER,BC,V5Y1R8,Y,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611377,0023124092,TORONTO,ON,M3B2G8,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339123,0012559779,BOUNDARY CREEK,NB,E1G4B6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336948,0036341642,GATINEAU,QC,J8Y3V7,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336375,0011891108,OTTAWA,ON,K1R5E1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337625,0028469435,ST CATHARINES,ON,L2M7T2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337687,0036342822,PORT EDWARD,BC,V0V1G0,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611533,0036224285,GATINEAU,QC,J8Y4C7,N,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339119,0036345668,ORLEANS,ON,K4A2N5,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334993,0030750954,SUDBURY,ON,P3G1B3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339300,0035138601,HAMILTON,ON,L8K5W1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339208,1269661185,VANCOUVER,BC,V5R6G9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336388,0036336170,LONDON,ON,N6B1W8,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335151,0036336071,COLD LAKE,AB,T9M1T1,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334910,0002509925,KITCHENER,ON,N2N1N8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611402,0028992287,NEW WESTMINSTER,BC,V3L5L6,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337735,0004456273,BARRIE,ON,L4N8W3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335007,0012271896,DELTA,BC,V4M2A8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611374,0002659811,SURREY,BC,V3W5Y5,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611366,0020402020,THORNHILL,ON,L3T4H7,N,IVR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335012,0033547555,BARRIE,ON,L4M3R2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339254,0034226498,INNISFAIL,AB,T4G1T7,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338579,0036344919,WINNIPEG,MB,R2C3T8,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339231,0036346013,WINNIPEG,MB,R2R1A2,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338570,0029286861,BINBROOK,ON,L0R1C0,N,REGULAR,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612761,0019701994,KITCHENER,ON,N2E2N9,N,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339177,1240548915,COQUITLAM,BC,V3K2S7,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338647,1267061677,NEPEAN,ON,K2G6K1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338606,1272856178,R.R. 3 MOUNT HOPE,ON,L0R1W0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336064,0036018653,MOOSE FACTORY,ON,P0L1W0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611390,0036335545,MONTREAL,QC,H3S2L5,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334922,0034441956,DUNMORE,AB,T0J1A1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611468,0036336212,EDMONTON,AB,T5L4H1,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337500,0026241232,BOLTON,ON,L7E0V9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335162,0036336154,CRANBROOK,BC,V1C5L9,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612597,0036343606,RICHMOND HILL,ON,L4C9T3,N,WEB,"1,599.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338882,0029097177,NORTH BATTLEFORD,SK,S9A2L7,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334907,0035777531,LONDON,ON,N5X2L8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338568,0036344893,GEORGETOWN,ON,L7G6H9,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338584,0036344851,ROCKY MOUNTAIN HOUSE,AB,T4T1A8,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338523,0008214934,BROCKVILLE,ON,K6V6G2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338538,0036344828,MONTREAL,QC,H2X2L4,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338666,0036054138,SCARBOROUGH,ON,M1V5M2,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335846,0025075417,HILLSBURGH,ON,N0B1Z0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334925,0036335263,SURREY,BC,V3R1W6,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334924,0028931111,MILTON,ON,L9T6N4,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334920,0035880574,DELTA,BC,V4L1N6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334928,0028979136,WATERLOO,ON,N2L3Y6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337631,0036342566,PRIME BROOK,NS,B1L1G1,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335129,0035318401,TORONTO,ON,M4C1G2,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338453,0031071954,RICHMOND,BC,V7E1G9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339092,0003816733,CAMROSE,AB,T4V4T9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611602,0036339661,EDMUNDSTON,NB,E3V2G9,Y,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338637,1266227030,VANCOUVER,BC,V6K3X8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339153,0035875996,SCARBOROUGH,ON,M1L4R8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612470,0032549123,SURREY,BC,V4N5S1,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334959,0002190643,SURREY,BC,V4A3S9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334961,0032993461,WHITBY,ON,L1R2C3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334958,0019544691,REGINA,SK,S4S4B9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334955,0035136290,ABBOTSFORD,BC,V2T5K5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334969,0036335388,REGINA,SK,S4R5H5,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334966,0026894881,ELK POINT,AB,T0A1A0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334968,0035720242,LONE BUTTE,BC,V0K1X0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334967,0036335404,YELLOWKNIFE,NT,X1A1H2,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339135,0019327238,ETOBICOKE,ON,M9A5G3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334946,0036335230,SURREY,BC,V3T2G3,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334949,0036281061,SASKATOON,SK,S7L3H9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334950,0036335313,OSHAWA,ON,L1G5C6,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334952,1127785432,KITCHENER,ON,N2M2L6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334973,0012663589,RICHMOND,BC,V7E2V3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334977,0036335529,SAINTE-GENEVIEVE,QC,H9H1C2,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334979,0036335412,MOUNT ALBERT,ON,L0G1M0,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334986,0033677766,VANCOUVER,BC,V5N4G3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334987,0036261139,LADYSMITH,BC,V9G1J8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334990,0022733505,SURREY,BC,V3R4K5,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334970,0021489992,ETOBICOKE,ON,M9R4B3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334972,0002416691,CALGARY,AB,T3B5Y1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4334992,1102931720,SWIFT CURRENT,SK,S9H4L6,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335026,1241214681,VICTORIA,BC,V8V1K8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335022,0010382729,OAKVILLE,ON,L6H6N4,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335027,0034247080,LLOYDMINSTER,AB,T9V3C3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335024,0000640003,VICTORIA,BC,V8V4Y1,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335025,0031280738,NORTH VANCOUVER,BC,V7R3X9,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335273,0023763535,OSHAWA,ON,L1G6E8,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335019,1251444699,TORONTO,ON,M4R1E3,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335015,0031757735,MINDEN,ON,K0M2K0,N,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611460,0035399211,CHETWYND,BC,V0C1J0,N,WEB,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335325,0036339513,MISSISSAUGA,ON,L5R4A5,Y,REGULAR,"1,299.99",601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
